,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY,KM,TAHUN,NO,TYPE,INDIKATOR KINERJA 2026,POLARITAS,SATUAN,UNIT,TARGET BULANAN,,TARGET MINGGU-1 ,TARGET MINGGU-2,TARGET MINGGU-3,TARGET MINGGU-4,TARGET MINGGU-5,,REALISASI MINGGU-1,REALISASI MINGGU-2 ,REALISASI MINGGU-3 ,REALISASI MINGGU-4 ,REALISASI MINGGU-5,,PENCAPAIAN MINGGU-1,PENCAPAIAN MINGGU-2 ,PENCAPAIAN MINGGU-3,PENCAPAIAN MINGGU-4,PENCAPAIAN MINGGU-5,,CARRY OVER MINGGU-1,,,,,,,,,,CARRY OVER MINGGU-2,CARRY OVER MINGGU-3,CARRY OVER MINGGU-4,CARRY OVER MINGGU-5
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanCIKARANG2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,CIKARANG,90%,,90%,90%,90%,90%,90%,,"89,45%","89,45%","89,45%","89,45%","89,45%",,"99,39%",99%,99%,99%,99%,,"0,01",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanCIMAHI2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,CIMAHI,90%,,90%,90%,90%,90%,90%,,"90,86%","90,86%","90,86%","90,86%","90,86%",,"100,96%",101%,101%,101%,101%,,"-0,01",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanCIREBON2026,4DX,2026,WIG-,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,CIREBON,90%,,90%,90%,90%,90%,90%,,"80,86%","80,86%","80,86%","80,86%","80,86%",,"89,84%",90%,90%,90%,90%,,"0,09",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanDEPOK2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,DEPOK,90%,,90%,90%,90%,90%,90%,,"83,16%","83,16%","83,16%","83,16%","83,16%",,"92,40%",92%,92%,92%,92%,,"0,07",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanGARUT2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,GARUT,90%,,90%,90%,90%,90%,90%,,"89,23%","89,23%","89,23%","89,23%","89,23%",,"99,14%",99%,99%,99%,99%,,"0,01",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanGUNUNG PUTRI2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,GUNUNG PUTRI,90%,,90%,90%,90%,90%,90%,,"91,20%","91,20%","91,20%","91,20%","91,20%",,"101,33%",101%,101%,101%,101%,,"-0,01",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanINDRAMAYU2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,INDRAMAYU,90%,,90%,90%,90%,90%,90%,,"84,95%","84,95%","84,95%","84,95%","84,95%",,"94,39%",94%,94%,94%,94%,,"0,05",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanKARAWANG2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,KARAWANG,90%,,90%,90%,90%,90%,90%,,"95,84%","95,84%","95,84%","95,84%","95,84%",,"106,49%",106%,106%,106%,106%,,"-0,06",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanMAJALAYA2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,MAJALAYA,90%,,90%,90%,90%,90%,90%,,"86,29%","86,29%","86,29%","86,29%","86,29%",,"95,88%",96%,96%,96%,96%,,"0,04",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanPURWAKARTA2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,PURWAKARTA,90%,,90%,90%,90%,90%,90%,,"94,30%","94,30%","94,30%","94,30%","94,30%",,"104,78%",105%,105%,105%,105%,,"-0,04",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanSUKABUMI2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,SUKABUMI,90%,,90%,90%,90%,90%,90%,,"81,30%","81,30%","81,30%","81,30%","81,30%",,"90,33%",90%,90%,90%,90%,,"0,09",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanSUMEDANG2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,SUMEDANG,90%,,90%,90%,90%,90%,90%,,"89,63%","89,63%","89,63%","89,63%","89,63%",,"99,59%",100%,100%,100%,100%,,"0,00",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanTASIKMALAYA2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,TASIKMALAYA,90%,,90%,90%,90%,90%,90%,,"71,13%","71,13%","71,13%","71,13%","71,13%",,"79,03%",79%,79%,79%,79%,,"0,19",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruUID JABAR2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,UID JABAR,49.702,,9.940,9.940,9.940,9.940,9.940,,8.191,8.191,8.191,8.191,8.191,,"82,46%","82,46%",82%,82%,82%,,"1.749,40",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruBANDUNG2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,BANDUNG,2.966,,593,593,593,593,593,,486,486,486,486,486,,82%,82%,82%,82%,82%,,"107,20",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruBEKASI2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,BEKASI,2.580,,516,516,516,516,516,,358,358,358,358,358,,69%,69%,69%,69%,69%,,"158,00",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruBOGOR2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,BOGOR,5.079,,1.016,1.016,1.016,1.016,1.016,,815,815,815,815,815,,80%,80%,80%,80%,80%,,"200,80",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruCIANJUR2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,CIANJUR,2.310,,462,462,462,462,462,,373,373,373,373,373,,81%,81%,81%,81%,81%,,"89,00",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruCIKARANG2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,CIKARANG,3.505,,701,701,701,701,701,,543,543,543,543,543,,77%,77%,77%,77%,77%,,"158,00",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruCIMAHI2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,CIMAHI,2.621,,524,524,524,524,524,,429,429,429,429,429,,82%,82%,82%,82%,82%,,"95,20",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruCIREBON2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,CIREBON,3.767,,753,753,753,753,753,,621,621,621,621,621,,82%,82%,82%,82%,82%,,"132,40",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruDEPOK2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,DEPOK,3.232,,646,646,646,646,646,,499,499,499,499,499,,77%,77%,77%,77%,77%,,"147,40",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruGARUT2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,GARUT,2.978,,596,596,596,596,596,,606,606,606,606,606,,102%,102%,102%,102%,102%,,"-10,40",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruGUNUNG PUTRI2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,GUNUNG PUTRI,2.145,,429,429,429,429,429,,357,357,357,357,357,,83%,83%,83%,83%,83%,,"72,00",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruINDRAMAYU2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,INDRAMAYU,1.695,,339,339,339,339,339,,293,293,293,293,293,,86%,86%,86%,86%,86%,,"46,00",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruKARAWANG2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,KARAWANG,2.586,,517,517,517,517,517,,359,359,359,359,359,,69%,69%,69%,69%,69%,,"158,20",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruMAJALAYA2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,MAJALAYA,2.859,,572,572,572,572,572,,466,466,466,466,466,,81%,81%,81%,81%,81%,,"105,80",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruPURWAKARTA2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,PURWAKARTA,2.362,,472,472,472,472,472,,442,442,442,442,442,,94%,94%,94%,94%,94%,,"30,40",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruSUKABUMI2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,SUKABUMI,2.413,,483,483,483,483,483,,414,414,414,414,414,,86%,86%,86%,86%,86%,,"68,60",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruSUMEDANG2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,SUMEDANG,2.785,,557,557,557,557,557,,431,431,431,431,431,,77%,77%,77%,77%,77%,,"126,00",,,,,,,,,,,,,
LM-3 Melaksanakan Penambahan Pelanggan BaruTASIKMALAYA2026,4DX,2026,WIG-1,4DX,LM-3 Melaksanakan Penambahan Pelanggan Baru,3,pelanggan,TASIKMALAYA,3.819,,764,764,764,764,764,,699,699,699,699,699,,92%,92%,92%,92%,92%,,"64,80",,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLUID JABAR2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,UID JABAR,37.793.672,,1.889.684,9.448.418,7.558.734,9.448.418,9.448.418,,1.829.598,8.364.819,6.934.557,8.955.470,10.140.862,,"19,36%",110%,73%,95%,110%,,1.083.599,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLBANDUNG2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,BANDUNG,2.464.512,,123.226,616.128,492.902,616.128,616.128,,61433,401519,427.939,687.129,711.928,,"65,17%",87%,110%,110%,,,214.609,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLBEKASI2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,BEKASI,5.288.614,,264.431,1.322.154,1.057.723,1.322.154,1.322.154,,228325,1093426,836.235,1.117.471,1.565.888,,"82,70%",79%,85%,110%,,,228.728,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLBOGOR2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,BOGOR,1.995.774,,99.789,498.944,399.155,498.944,498.944,,121259,405857,434.469,498.170,454.964,,"81,34%",109%,100%,91%,,,93.087,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLCIANJUR2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,CIANJUR,1.241.817,,62.091,310.454,248.363,310.454,310.454,,56657,258133,217.699,219.884,269.085,,"83,15%",88%,71%,87%,,,52.321,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLCIKARANG2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,CIKARANG,4.378.859,,218.943,1.094.715,875.772,1.094.715,1.094.715,,197373,883347,576.836,797.397,1.524.800,,"80,69%",66%,73%,110%,,,211.368,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLCIMAHI2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,CIMAHI,2.009.731,,100.487,502.433,401.946,502.433,502.433,,123778,429975,376.288,462.714,480.244,,"85,58%",94%,92%,96%,,,72.458,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLCIREBON2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,CIREBON,1.160.736,,58.037,290.184,232.147,290.184,290.184,,62503,286701,242.492,371.288,279.378,,"98,80%",104%,110%,96%,,,3.483,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLDEPOK2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,DEPOK,3.033.342,,151.667,758.336,606.668,758.336,758.336,,191346,850084,685.011,844.458,642.048,,"110,00%",110%,110%,85%,20%,,-91.749,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLGARUT2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,GARUT,1.114.147,,55.707,278.537,222.829,278.537,278.537,,49596,262431,235.149,278.969,277.631,,"94,22%",106%,100%,100%,,,16.106,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLGUNUNG PUTRI2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,GUNUNG PUTRI,2.376.557,,118.828,594.139,475.311,594.139,594.139,,63818,489233,332.313,520.075,691.533,,"82,34%",70%,88%,110%,,,104.906,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLINDRAMAYU2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,INDRAMAYU,1.448.724,,72.436,362.181,289.745,362.181,362.181,,76628,288070,275.319,336.467,379.842,,"79,54%",95%,93%,105%,,,74.111,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLKARAWANG2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,KARAWANG,2.559.007,,127.950,639.752,511.801,639.752,639.752,,131632,616860,502.008,611.591,571.727,,"96,42%",98%,96%,89%,,,22.892,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLMAJALAYA2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,MAJALAYA,1.187.042,,59.352,296.761,237.408,296.761,296.761,,37320,212985,191.058,245.923,288.820,,"71,77%",80%,83%,97%,,,83.776,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLPURWAKARTA2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,PURWAKARTA,1.915.144,,95.757,478.786,383.029,478.786,478.786,,92642,449364,367.145,456.967,508.853,,"93,85%",96%,95%,106%,,,29.422,,,,,,,,,,,,,
